                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2604,                 2.3874,                 2.8335,                0.40087,                0.78545,                0.56822,                0.13672,                 2.2993,                 2.1762,                 2.9415,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.2834,                  2.238,                   2.81,                0.68711,                0.70021,                0.73588,                0.22905,                 2.0538,                 2.1637,                 2.7728,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.2762,                 2.1974,                 2.8636,                0.43586,                0.86957,                0.61349,                0.20361,                  2.241,                 2.1134,                 3.3109,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.0376,                  2.102,                 2.7203,                0.44898,                0.30435,                0.44304,                0.12509,                 2.6032,                 2.3582,                 3.7558,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.1317,                 2.0283,                 2.7708,                0.78773,                 0.2029,                0.31365,                0.07838,                 2.7369,                 2.7569,                 3.7272,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.0429,                 1.7988,                 2.7142,                0.67258,                0.21739,                 0.3211,                0.09468,                 2.4781,                 3.3137,                 3.4433,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.1209,                 2.0152,                 2.7412,                 0.5636,                 0.7971,                0.70276,                0.24637,                 2.0567,                 1.8348,                 2.8189,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.1898,                 2.1388,                 2.8497,                 0.6913,                0.89855,                0.78322,                0.25676,                 2.0096,                 1.8711,                 2.7545,               0.001604,               0.001604,               0.001604
                     42,                 2.1436,                 2.0423,                 2.7722,                 0.7809,                0.86957,                0.82831,                0.19372,                 2.0877,                 2.0329,                  2.857,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.1448,                 2.0042,                 2.7414,                0.88798,                0.81159,                0.89592,                 0.2276,                 2.0788,                 1.7994,                 2.8289,              0.0015842,              0.0015842,              0.0015842
                     44,                 2.0505,                 1.8899,                 2.7572,                0.74628,                0.72468,                0.82871,                0.36696,                 1.5343,                 3.2647,                 2.3177,              0.0015743,              0.0015743,              0.0015743
