                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0435,                 4.3275,                 4.3546,                0.00149,                0.43478,                 0.0011,                0.00037,                 2.6346,                 3.9497,                 4.1584,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.0807,                 4.2586,                 4.3505,                0.00149,                0.43478,                0.00117,                0.00039,                 2.6335,                 3.9476,                 4.1571,             0.00017644,             0.00017644,             0.00017644
                      3,                  3.114,                 4.0119,                 4.2534,                0.00149,                0.43478,                0.00116,                0.00039,                 2.6249,                 3.9486,                 4.1549,             0.00026891,             0.00026891,             0.00026891
                      4,                 2.9448,                 3.6002,                 4.1999,                 0.0015,                0.43478,                0.00114,                0.00038,                 2.6185,                 3.9496,                 4.1527,             0.00035743,             0.00035743,             0.00035743
                      5,                 2.8395,                 3.5921,                 4.1176,                 0.0015,                0.43478,                0.00112,                0.00038,                 2.6148,                 3.9553,                 4.1487,             0.00044198,             0.00044198,             0.00044198
                      6,                  2.783,                 3.2621,                 3.9887,                0.00149,                0.43478,                0.00114,                0.00039,                 2.6007,                 3.9626,                 4.1473,             0.00052258,             0.00052258,             0.00052258
                      7,                 2.8931,                 3.2944,                 3.8553,                0.00151,                0.43478,                 0.0011,                0.00038,                 2.5914,                 3.9813,                 4.1484,             0.00059922,             0.00059922,             0.00059922
                      8,                 2.8818,                  3.272,                  3.766,                 0.0015,                0.43478,                0.00109,                0.00039,                 2.5774,                 3.9929,                 4.1452,             0.00067189,             0.00067189,             0.00067189
                      9,                 2.5359,                 3.3002,                 3.6047,                 0.0015,                0.43478,                0.00111,                0.00039,                 2.5564,                 3.9457,                 4.1405,             0.00074061,             0.00074061,             0.00074061
                     10,                 2.7124,                 3.0228,                 3.5914,                0.00154,                0.44928,                0.00115,                0.00039,                 2.5458,                 3.9532,                 4.1388,             0.00080536,             0.00080536,             0.00080536
                     11,                 2.5148,                 2.8709,                  3.437,                0.00164,                0.47826,                0.00122,                 0.0004,                 2.5451,                 3.9847,                 4.1491,             0.00086616,             0.00086616,             0.00086616
                     12,                 2.4578,                 2.9514,                 3.4925,                0.00175,                0.50725,                0.00133,                0.00043,                 2.5374,                 4.0174,                 4.1392,               0.000923,               0.000923,               0.000923
                     13,                 2.4486,                 2.7929,                 3.4141,                0.00179,                0.52174,                0.00138,                0.00044,                 2.5307,                 3.9797,                 4.1289,             0.00097587,             0.00097587,             0.00097587
                     14,                 2.4628,                 2.9226,                 3.4674,                0.00183,                0.52174,                 0.0014,                0.00044,                 2.5674,                 3.6326,                 4.1396,              0.0010248,              0.0010248,              0.0010248
                     15,                 2.3602,                 2.8142,                 3.2834,                0.00183,                0.52174,                0.00141,                0.00043,                 2.6065,                 3.7887,                  4.122,              0.0010697,              0.0010697,              0.0010697
                     16,                 2.3905,                 2.9772,                 3.2636,                0.00042,                0.04348,                0.00025,                  9e-05,                  2.609,                 3.8151,                 4.0897,              0.0011107,              0.0011107,              0.0011107
                     17,                 2.1899,                 2.5792,                 3.0931,                0.00048,                0.04348,                0.00027,                  8e-05,                 2.6094,                  3.844,                  4.068,              0.0011478,              0.0011478,              0.0011478
                     18,                 2.2284,                 2.6108,                 3.1382,                0.00066,                0.05797,                0.00037,                 0.0001,                 2.5777,                 3.8106,                 4.0287,              0.0011809,              0.0011809,              0.0011809
                     19,                 2.1668,                 2.6912,                 3.1225,                0.00179,                0.15942,                0.00104,                0.00044,                 2.4787,                 3.8777,                 3.8566,                0.00121,                0.00121,                0.00121
                     20,                 2.2942,                 2.4673,                 3.0408,                0.00874,                0.92754,                0.08077,                0.02721,                 2.0341,                 3.3736,                 3.1207,              0.0012351,              0.0012351,              0.0012351
                     21,                 2.3303,                 2.7497,                 3.2593,                0.00836,                0.95652,                0.25792,                0.09776,                 1.8239,                  3.159,                 2.8972,               0.001208,               0.001208,               0.001208
                     22,                 2.1384,                 2.5234,                 2.9867,                 0.0079,                      1,                0.47737,                0.16809,                 1.7026,                 2.9964,                 2.8171,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.4412,                 2.5718,                 3.1578,                0.81416,                0.23188,                0.66359,                0.29079,                 1.6687,                 2.6216,                  2.773,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.2372,                 2.6118,                 3.0621,                0.78187,                0.56522,                0.79499,                0.38473,                 1.4066,                 2.1991,                 2.5949,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.0854,                 2.4151,                 3.0063,                  0.795,                0.78691,                0.82724,                0.38569,                 1.4039,                 1.9824,                 2.5557,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.9962,                 2.4079,                  2.958,                0.64252,                0.46895,                0.69507,                0.27361,                 2.1077,                 2.0798,                 3.0893,                0.00101,                0.00101,                0.00101
                     27,                 2.3098,                 2.3957,                 2.9911,                0.82698,                0.84058,                0.87284,                0.32362,                 1.9486,                 2.0152,                 2.8884,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.0998,                 2.4147,                 2.9444,                0.83739,                0.78261,                0.86661,                0.40418,                 1.5166,                 1.8308,                 2.4271,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.0838,                 2.3684,                 2.9029,                0.67838,                0.76812,                0.77151,                0.34946,                 1.5035,                 1.9533,                 2.4311,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.1133,                 2.3364,                 2.8771,                0.61751,                0.66667,                0.71162,                0.34975,                 1.4459,                 1.9747,                  2.381,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.0032,                 2.1356,                  2.799,                0.77871,                0.73913,                0.81378,                0.39597,                 1.4196,                 1.7891,                 2.3272,               0.000812,               0.000812,               0.000812
                     32,                 2.0285,                  2.503,                 2.7555,                 0.8475,                0.76812,                0.83226,                0.41605,                  1.404,                 1.5815,                 2.2993,              0.0007724,              0.0007724,              0.0007724
                     33,                 2.0907,                 2.1559,                 2.8436,                 0.7879,                0.81159,                0.82895,                0.45535,                 1.3298,                 1.5817,                 2.2784,              0.0007328,              0.0007328,              0.0007328
                     34,                 2.2314,                 2.3609,                 2.8602,                 0.7543,                0.81159,                0.81275,                0.35716,                 1.4478,                 1.6814,                 2.3884,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.1338,                 2.3257,                 2.7899,                0.65933,                0.78261,                0.72298,                0.25786,                 1.5881,                 1.9185,                 2.5141,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.1285,                 2.2717,                   2.84,                0.77261,                0.84058,                0.87111,                0.38483,                 1.5166,                 1.7448,                 2.4844,               0.000614,               0.000614,               0.000614
                     37,                 1.9728,                 2.1803,                  2.747,                0.76093,                0.73808,                0.81443,                 0.4373,                 1.2845,                 1.7012,                  2.363,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.0145,                 2.1294,                 2.7475,                0.73972,                 0.7826,                0.82899,                0.44306,                 1.3229,                 1.6503,                 2.3675,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.9665,                 1.9184,                 2.7432,                0.87126,                0.88273,                0.91432,                0.50982,                 1.2638,                 1.5242,                  2.283,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.9978,                 2.0741,                  2.712,                0.86572,                0.89855,                0.93463,                0.45081,                 1.3408,                 1.4899,                 2.2239,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.705,                 2.4942,                 2.4559,                 0.8749,                0.91221,                0.94258,                0.50182,                 1.3006,                  1.461,                 2.1981,               0.000416,               0.000416,               0.000416
                     42,                 1.5829,                 2.2735,                 2.3296,                0.79765,                0.85507,                0.91796,                 0.5248,                 1.3579,                 1.4625,                  2.243,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.5726,                 2.1244,                 2.3604,                0.85643,                0.75362,                0.89601,                0.48427,                 1.4609,                 1.5138,                 2.3105,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.5262,                 2.0489,                 2.3081,                0.86545,                0.83899,                0.94041,                0.52946,                 1.2964,                 1.4184,                 2.1759,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.392,                 1.9607,                 2.2318,                0.82694,                0.85507,                0.92093,                0.49069,                 1.3302,                 1.4516,                 2.1575,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3261,                 1.9686,                 2.1632,                0.75942,                0.82347,                0.86953,                0.41886,                 1.4397,                 1.6232,                 2.2758,               0.000218,               0.000218,               0.000218
                     47,                 1.4466,                 1.9528,                 2.2827,                0.78673,                  0.802,                0.86547,                0.42345,                 1.4277,                 1.6207,                 2.2795,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4224,                 1.9948,                 2.2398,                0.89442,                0.85507,                0.94974,                0.51276,                 1.2442,                 1.3994,                 2.1344,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3511,                 1.9566,                 2.2047,                0.89956,                0.88406,                0.96159,                0.57002,                 1.2131,                 1.3386,                 2.1185,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.4345,                 1.9401,                 2.2771,                0.90111,                 0.9245,                0.96531,                 0.5953,                 1.2395,                   1.31,                 2.1251,               5.96e-05,               5.96e-05,               5.96e-05
